Company,2023,2024,% CHANGE
McDonald’s,69,71,3%
Jack in the Box,73,72,-1%
Popeyes (RBI),74,72,-3%
Taco Bell (Yum! Brands),71,73,3%
Dairy Queen,75,74,-1%
Subway,75,74,-1%
Little Caesars,74,75,1%
Sonic (Inspire Brands),72,76,6%
Wendy’s,74,76,3%
Burger King (RBI),76,77,1%
Chipotle,75,77,3%
Dunkin’ (Inspire Brands),77,77,0%
Panda Express,77,77,0%
Five Guys,78,78,0%
Fast Food Restaurants,78,79,1%
Domino’s,78,79,1%
Papa Johns,80,79,-1%
Pizza Hut (Yum! Brands),78,79,1%
Arby’s (Inspire Brands),77,80,4%
Culver’s,NM,80,NA
Panera Bread,76,80,5%
Starbucks,78,80,3%
KFC (Yum! Brands),81,81,0%
All Others,82,83,1%
Chick-fil-A,85,83,-2%
